Day,Date,Stage,Time,Artist
Friday,September 19,Riot Stage,12:30pm - 1:00pm,Harrison Gordon
Friday,September 19,Riot Stage,1:40pm - 2:10pm,Julia Wolf
Friday,September 19,Riot Stage,3:00pm - 3:40pm,Honey Revenge
Friday,September 19,Riot Stage,4:30pm - 5:10pm,Rico Nasty
Friday,September 19,Riot Stage,6:20pm - 7:20pm,Alkaline Trio (Album Play: Maybe I’ll Catch Fire)
Friday,September 19,Riot Stage,8:30pm - 10:00pm,Blink-182
Friday,September 19,Roots Stage,12:00pm - 12:30pm,La Rosa Noir
Friday,September 19,Roots Stage,1:05pm - 1:35pm,The Barbarians of California
Friday,September 19,Roots Stage,2:00pm - 2:55pm,Touché Amoré
Friday,September 19,Roots Stage,3:45pm - 4:25pm,Harms Way
Friday,September 19,Roots Stage,5:15pm - 6:15pm,Senses Fail
Friday,September 19,Roots Stage,7:25pm - 8:25pm,Knocked Loose
Friday,September 19,Rebel Stage,12:50pm - 1:20pm,Big Ass Truck LLC
Friday,September 19,Rebel Stage,1:40pm - 2:10pm,The Tossers
Friday,September 19,Rebel Stage,2:40pm - 3:30pm,Samiam (Album Play: Astray)
Friday,September 19,Rebel Stage,4:00pm - 5:00pm,Agnostic Front (Album Play: Victim in Pain)
Friday,September 19,Rebel Stage,5:30pm - 6:30pm,Didjits
Friday,September 19,Rebel Stage,7:00pm - 8:00pm,Stiff Little Fingers
Friday,September 19,Rebel Stage,8:30pm - 10:00pm,The Pogues (Album Play: Rum Sodomy & The Lash)
Friday,September 19,Rise/Weird Al Stage,12:00pm - 12:30pm,Shonen Knife
Friday,September 19,Rise/Weird Al Stage,1:05pm - 1:35pm,Mac Sabbath
Friday,September 19,Rise/Weird Al Stage,2:15pm - 2:45pm,Puddles Pity Party
Friday,September 19,Rise/Weird Al Stage,3:25pm - 3:55pm,Camper Van Beethoven
Friday,September 19,Rise/Weird Al Stage,5:05pm - 5:50pm,Sparks
Friday,September 19,Rise/Weird Al Stage,7:00pm - 8:30pm,Weird Al Yankovic
Friday,September 19,Radical Stage,12:30pm - 1:00pm,Loviet
Friday,September 19,Radical Stage,1:40pm - 2:10pm,Marianas Trench
Friday,September 19,Radical Stage,2:50pm - 3:20pm,Shudder To Think
Friday,September 19,Radical Stage,4:00pm - 5:00pm,The Hold Steady (Album Play: Separation Sunday)
Friday,September 19,Radical Stage,5:55pm - 6:55pm,Rilo Kiley
Saturday,September 20,Riot Stage,12:35pm - 1:05pm,Wishy
Saturday,September 20,Riot Stage,1:45pm - 2:15pm,Militarie Gun
Saturday,September 20,Riot Stage,2:55pm - 3:25pm,Superchunk
Saturday,September 20,Riot Stage,4:10pm - 5:10pm,James
Saturday,September 20,Riot Stage,6:20pm - 7:20pm,The Beach Boys
Saturday,September 20,Riot Stage,8:30pm - 10:00pm,Weezer (Album Play: The Blue Album)
Saturday,September 20,Roots Stage,12:00pm - 12:30pm,Speed of Light
Saturday,September 20,Roots Stage,1:10pm - 1:40pm,Girl in a Coma
Saturday,September 20,Roots Stage,2:20pm - 2:50pm,The Cribs
Saturday,September 20,Roots Stage,3:35pm - 4:05pm,Panchiko
Saturday,September 20,Roots Stage,5:15pm - 6:15pm,The Front Bottoms (Album Play: Back on Top)
Saturday,September 20,Roots Stage,7:25pm - 8:25pm,Jack White
Saturday,September 20,Rebel Stage,12:05pm - 12:20pm,Myles Bass
Saturday,September 20,Rebel Stage,12:50pm - 1:15pm,Feral Tact
Saturday,September 20,Rebel Stage,1:45pm - 2:30pm,Agent Orange (Album Play: Living in Darkness)
Saturday,September 20,Rebel Stage,3:15pm - 4:15pm,GWAR
Saturday,September 20,Rebel Stage,5:30pm - 6:30pm,Marky Ramone (Plays the Ramones)
Saturday,September 20,Rebel Stage,7:00pm - 8:00pm,Buzzcocks
Saturday,September 20,Rebel Stage,8:30pm - 9:30pm,The Damned
Saturday,September 20,Rise/Weird Al Stage,12:00pm - 12:20pm,Cliffdiver
Saturday,September 20,Rise/Weird Al Stage,1:05pm - 1:35pm,Thrown
Saturday,September 20,Rise/Weird Al Stage,2:15pm - 2:45pm,Free Throw
Saturday,September 20,Rise/Weird Al Stage,3:55pm - 4:25pm,Citizen
Saturday,September 20,Rise/Weird Al Stage,5:20pm - 6:20pm,Knuckle Puck (Album Play: Copacetic)
Saturday,September 20,Rise/Weird Al Stage,7:30pm - 8:30pm,All Time Low
Saturday,September 20,Radical Stage,12:30pm - 1:00pm,Violent Vira
Saturday,September 20,Radical Stage,1:40pm - 2:10pm,H2O
Saturday,September 20,Radical Stage,2:50pm - 3:50pm,Helmet (Album Play: Betty)
Saturday,September 20,Radical Stage,4:30pm - 5:15pm,The Bouncing Souls (Album Play: How I Spent My Summer Vacation)
Saturday,September 20,Radical Stage,6:25pm - 7:25pm,Dropkick Murphys
Sunday,September 21,Riot Stage,12:00pm - 12:40pm,The Effigies (Album Play: For Ever Grounded)
Sunday,September 21,Riot Stage,1:15pm - 1:55pm,Zero Boys (Album Play: Vicious Circle)
Sunday,September 21,Riot Stage,2:50pm - 3:20pm,The Linda Lindas
Sunday,September 21,Riot Stage,4:10pm - 4:55pm,Screeching Weasel (Album Play: My Brain Hurts)
Sunday,September 21,Riot Stage,6:05pm - 7:05pm,Idles
Sunday,September 21,Riot Stage,8:15pm - 10:00pm,Green Day
Sunday,September 21,Roots Stage,12:40pm - 1:10pm,The Paradox
Sunday,September 21,Roots Stage,2:00pm - 2:45pm,Pegboy (Album Play: Strong Reaction)
Sunday,September 21,Roots Stage,3:25pm - 4:05pm,Dance Hall Crashers
Sunday,September 21,Roots Stage,5:00pm - 6:00pm,Bad Religion (Album Play: Suffer)
Sunday,September 21,Roots Stage,7:10pm - 8:10pm,Jawbreaker
Sunday,September 21,Rebel Stage,11:20am - 11:45am,New Clear Fusion
Sunday,September 21,Rebel Stage,12:00pm - 12:30pm,Footballhead
Sunday,September 21,Rebel Stage,12:45pm - 1:15pm,Chase Petra
Sunday,September 21,Rebel Stage,1:30pm - 2:00pm,Delta Sleep
Sunday,September 21,Rebel Stage,2:30pm - 3:30pm,"The Ataris (Album Play: So Long, Astoria)"
Sunday,September 21,Rebel Stage,4:00pm - 4:30pm,Hanson
Sunday,September 21,Rebel Stage,5:00pm - 5:30pm,Gym Class Heroes
Sunday,September 21,Rebel Stage,6:00pm - 6:45pm,Cobra Starship
Sunday,September 21,Rebel Stage,7:15pm - 8:15pm,The Academy Is… (Album Play: Almost Here)
Sunday,September 21,Rise/Weird Al Stage,12:30pm - 1:00pm,Dune Rats
Sunday,September 21,Rise/Weird Al Stage,1:40pm - 2:25pm,Smoking Popes (Album Play: Born to Quit)
Sunday,September 21,Rise/Weird Al Stage,3:05pm - 3:35pm,Lambrini Girls
Sunday,September 21,Rise/Weird Al Stage,4:15pm - 4:45pm,Microwave
Sunday,September 21,Rise/Weird Al Stage,5:35pm - 6:20pm,The Wonder Years
Sunday,September 21,Rise/Weird Al Stage,7:15pm - 8:15pm,Inhaler
Sunday,September 21,Radical Stage,12:00pm - 12:30pm,Weakened Friends
Sunday,September 21,Radical Stage,1:05pm - 1:35pm,Quannnic
Sunday,September 21,Radical Stage,2:30pm - 3:00pm,Soft Play
Sunday,September 21,Radical Stage,3:40pm - 4:10pm,Ovlov
Sunday,September 21,Radical Stage,4:50pm - 5:30pm,Dehd
Sunday,September 21,Radical Stage,6:25pm - 7:10pm,Texas Is the Reason
